cresta_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
11,0.75,0.25,0.5,0.75,0.75,0.75,0.75,0.25,1.0,0.5,1.0,0.75,0.75,0.0,0.75,0.5,0.25,0.5,0.75,0.25,0.5,0.0,0.5,0.5,0.5,0.75,0.25,0.25,0.0,0.75,1.0,0.75,0.5,1.0,0.0,0.5,0.25,0.75,0.5,0.75,0.25,0.75,0.75,0.0,0.25,0.75,0.75,0.75,0.25,0.0,0.25,0.25,0.25,0.5,0.25,0.0,0.5,0.5,0.0,0.25,0.25,0.0,0.75,0.75,0.75,1.0,0.5,0.5,0.75,0.5,0.5,0.25,0.75,0.75,0.25,0.0,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
12,0.75,0.25,0.5,0.75,0.75,0.75,1.0,0.25,0.75,0.25,0.75,1.0,0.75,0.0,1.0,0.5,0.5,0.5,0.75,0.25,0.5,0.0,0.5,0.75,0.75,1.0,0.25,0.25,0.0,1.0,1.0,1.0,0.75,0.75,0.0,0.5,0.25,0.75,0.75,0.75,0.25,0.75,1.0,0.25,0.25,1.0,0.75,1.0,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.5,0.0,0.25,0.25,0.0,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.75,0.25,0.0,0.25,0.25,0.5,0.25,1.0,1.0,0.75,1.0,0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25
13,0.75,0.25,0.5,1.0,1.0,1.0,0.75,0.0,0.5,0.25,0.75,0.75,1.0,0.25,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0.5,1.0,0.25,0.25,0.25,1.0,0.75,0.5,0.5,1.0,0.25,0.25,0.25,1.0,0.25,0.5,0.25,0.75,0.75,0.25,0.25,0.5,0.5,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.25,0.5,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.5,1.0,1.0,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
14,0.25,0.75,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.25,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.25,1.0,0.25,0.25,0.25,0.0,1.0,0.75,0.75,0.0,0.25,0.0,0.25,0.25,1.0,0.25,0.5,0.25,0.25,0.0,0.5,0.25,0.0,0.75,0.5,0.0,0.25,0.0,0.5,1.0,0.5,0.25,1.0,0.5,0.5,0.75,0.5,0.25,0.5,0.75,1.0,0.75,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.75,1.0,0.5,0.75,0.25,0.75,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.5,0.25,0.75,0.75,0.75,0.75,0.75
15,0.75,0.25,0.75,0.75,0.75,0.75,1.0,0.25,0.5,0.5,0.75,1.0,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.25,0.75,0.75,0.75,1.0,0.25,0.25,0.0,1.0,0.75,0.75,0.75,0.75,0.0,0.5,0.5,1.0,0.75,0.75,0.5,0.75,1.0,0.25,0.5,1.0,0.75,1.0,0.25,0.0,0.25,0.5,0.25,0.5,0.25,0.0,0.5,0.5,0.25,0.25,0.25,0.0,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.75,0.25,0.0,0.5,0.25,0.5,0.25,0.75,0.75,0.75,0.75,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25
16,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.5,1.0,1.0,0.75,0.75,0.0,0.5,0.25,0.75,0.75,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.0,0.75,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.75,0.75,1.0,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5
17,0.5,0.25,0.75,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,1.0,1.0,0.75,0.75,0.0,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.25,0.75,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.75,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,1.0,0.25,0.25,0.5,0.25,0.5,1.0,1.0,1.0,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5
18,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.25,0.25,0.5,0.75,0.75,1.0,0.75,0.0,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.75,0.75,0.75,0.5,1.0,0.75,0.5,0.5,1.0,0.5,0.5,0.5,0.75,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.5,1.0,0.25,0.5,0.5,0.25,0.75,0.5,0.5,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.75,0.75,0.75,0.75
19,0.75,0.25,0.75,0.75,0.75,0.5,0.75,0.25,0.5,0.5,0.75,0.75,0.5,0.25,1.0,0.75,0.75,0.75,1.0,0.25,0.5,0.25,0.75,1.0,0.75,0.75,0.25,0.25,0.0,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.25,0.5,1.0,0.75,0.75,0.25,0.0,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.75,0.25,0.25,0.25,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.75,0.25,0.25,0.5,0.25,0.5,0.25,0.75,0.75,0.5,0.75,0.5,0.75,1.0,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.25
20,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.25,0.75,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.25,1.0,0.25,0.75,0.5,1.0,0.75,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.75,0.75,1.0,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0.75,1.0,0.5,0.75,0.75,0.25,0.75,1.0,0.25,0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.75,0.75,1.0,1.0,1.0,0.5,0.75,1.0,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1.0,0.75,1.0,0.75,0.5,0.5,0.75,0.5
22,0.25,0.5,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.25,1.0,0.25,0.25,0.25,0.5,0.25,0.0,0.25,1.0,0.25,0.25,0.25,0.25,0.75,0.75,1.0,0.25,0.25,0.0,0.25,0.25,1.0,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.75,0.5,0.0,0.25,0.0,0.75,1.0,0.5,0.25,0.75,0.5,0.5,1.0,0.5,0.25,0.5,0.75,0.75,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.75,0.5,0.75,0.5,0.75,0.0,0.0,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.75,0.75,0.75,0.75
23,0.75,0.5,1.0,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.25,1.0,0.75,0.75,0.75,0.25,0.5,0.25,0.75,0.5,0.5,0.75,0.5,0.25,1.0,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.25,0.5,0.25,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.25,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.75,0.75,0.75,1.0,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5
24,0.75,0.25,0.75,0.5,0.75,0.5,0.75,0.25,0.5,0.25,0.5,0.75,0.5,0.25,0.75,0.75,0.75,0.5,1.0,0.25,0.5,0.25,0.75,1.0,0.5,0.75,0.25,0.25,0.25,0.75,0.75,0.75,1.0,0.5,0.25,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.75,0.25,0.5,1.0,1.0,0.75,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.0,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.75,0.75,0.25,0.25,0.5,0.25,0.5,0.25,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.25
25,1.0,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.25,0.75,0.5,0.5,0.75,0.75,0.0,1.0,0.25,0.75,0.5,1.0,0.75,0.25,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.25,0.75,0.5,1.0,1.0,0.5,0.5,0.75,0.75,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.75,0.5,0.75,0.75,0.25,0.75,0.75,0.25,0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.75,1.0,0.75,1.0,1.0,0.5,1.0,1.0,0.5,0.25,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.75,0.5,0.5,0.5,1.0,0.75,1.0,0.5,0.5,0.5,0.5,0.5
26,1.0,0.25,0.75,1.0,1.0,0.75,1.0,0.25,0.75,0.5,0.75,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.75,0.25,0.75,0.25,0.75,0.75,0.75,1.0,0.25,0.5,0.0,1.0,0.75,0.75,0.5,0.75,0.25,0.5,0.5,1.0,0.75,0.75,0.5,1.0,1.0,0.25,0.5,1.0,0.75,1.0,0.25,0.0,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.75,0.0,0.25,0.25,0.0,0.75,0.75,0.75,0.75,0.5,0.75,1.0,0.75,0.75,0.25,1.0,0.75,0.25,0.0,0.25,0.25,0.5,0.25,1.0,1.0,0.75,1.0,0.25,0.5,0.75,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5
27,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.75,0.0,0.5,0.25,0.25,0.25,1.0,0.25,0.25,0.5,0.5,0.25,0.0,0.5,0.75,0.25,0.25,0.25,0.25,1.0,1.0,0.75,0.25,0.25,0.25,0.25,0.25,0.75,0.5,0.75,0.5,0.25,0.25,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.0,0.75,1.0,0.75,0.5,1.0,0.5,0.5,0.75,0.5,0.5,0.75,1.0,1.0,0.75,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.25,1.0,0.5,0.5,1.0,1.0,0.75,1.0,0.5,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.75,1.0,1.0,1.0,1.0
28,0.5,0.75,0.5,0.25,0.5,0.25,0.25,0.75,0.25,0.75,0.25,0.25,0.25,0.75,0.25,0.5,0.5,0.75,0.25,0.0,0.5,0.75,0.5,0.25,0.5,0.5,1.0,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.5,0.5,0.25,1.0,0.5,0.25,0.75,1.0,0.25,0.25,0.25,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.5,0.5,0.75,0.5,1.0,1.0,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.75,1.0,1.0,0.5,0.75,0.25,0.25,0.25,0.25,0.75,0.5,0.5,0.5,0.75,0.5,1.0,1.0,1.0,1.0,1.0
29,0.25,0.5,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.75,0.0,0.25,0.25,0.25,0.0,0.0,0.25,1.0,0.25,0.25,0.25,0.0,0.75,0.5,1.0,0.0,0.25,0.0,0.25,0.25,0.75,0.25,0.5,0.25,0.25,0.0,0.5,0.25,0.0,0.75,0.5,0.0,0.0,0.0,0.5,0.75,0.5,0.25,0.75,0.25,0.25,1.0,0.25,0.25,0.5,0.5,0.75,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.75,0.5,0.5,0.25,0.5,0.0,0.0,0.25,0.0,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
30,0.75,0.25,0.75,0.75,1.0,1.0,1.0,0.25,0.75,0.5,0.75,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.75,0.25,0.5,0.25,0.75,0.75,0.75,1.0,0.25,0.25,0.0,1.0,0.75,0.75,0.5,1.0,0.0,0.5,0.25,1.0,0.75,0.75,0.5,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.25,0.0,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.75,0.0,0.25,0.25,0.0,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.75,0.25,0.0,0.25,0.25,0.5,0.25,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25
31,0.75,0.25,0.5,0.5,0.75,0.75,0.75,0.25,0.75,0.25,1.0,1.0,0.75,0.25,0.75,0.5,0.5,0.5,0.75,0.25,0.5,0.25,0.5,0.75,0.5,0.75,0.25,0.25,0.25,0.75,1.0,1.0,0.75,0.75,0.25,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.75,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.75,1.0,1.0,0.75,0.5,0.5,0.75,0.25,0.5,0.25,0.75,0.75,0.25,0.25,0.5,0.25,0.5,0.25,1.0,1.0,0.5,0.75,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
32,0.75,0.25,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.25,0.75,1.0,0.5,0.0,0.75,0.5,0.5,0.5,0.75,0.25,0.5,0.0,0.5,0.75,0.5,0.75,0.25,0.25,0.0,0.75,1.0,1.0,0.75,0.75,0.0,0.5,0.25,0.75,0.5,0.75,0.25,0.75,0.75,0.25,0.25,1.0,1.0,0.75,0.25,0.0,0.25,0.25,0.25,0.5,0.25,0.0,0.25,0.5,0.0,0.25,0.25,0.0,0.75,1.0,1.0,0.75,0.5,0.5,0.75,0.5,0.5,0.25,0.75,0.75,0.25,0.0,0.25,0.25,0.25,0.25,1.0,1.0,0.5,0.75,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
33,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.75,0.5,0.25,0.75,0.75,0.75,0.5,0.75,0.25,0.5,0.25,0.75,1.0,0.5,0.5,0.25,0.25,0.25,0.5,0.75,0.75,1.0,0.5,0.25,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.75,1.0,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.75,0.75,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.25
34,0.75,0.25,0.5,0.75,0.75,0.75,0.75,0.25,0.75,0.25,1.0,0.75,1.0,0.25,0.75,0.5,0.5,0.5,0.75,0.25,0.5,0.25,0.5,0.5,0.5,0.75,0.25,0.25,0.25,1.0,0.75,0.75,0.5,1.0,0.25,0.5,0.25,0.75,0.5,0.75,0.25,0.75,0.75,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.25,0.5,0.25,0.75,0.75,0.25,0.25,0.5,0.25,0.25,0.25,1.0,0.75,0.75,1.0,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
35,0.25,0.5,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.25,1.0,0.0,0.25,0.5,0.5,0.25,0.0,0.25,1.0,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.0,0.25,0.0,0.25,0.25,1.0,0.5,0.75,0.25,0.25,0.25,0.75,0.25,0.0,1.0,0.5,0.0,0.25,0.0,0.75,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.75,1.0,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.75,1.0,0.75,0.75,0.5,0.75,0.0,0.0,0.25,0.0,0.75,0.5,0.25,0.25,0.5,0.25,0.75,0.75,0.75,0.75,0.75
